Instance;LB;Best Obj.;Time 1;Obj.;Time 2;vs Best;vs LB
1;1254;-;300*;1306;1.5931;-;4.15
2;831;2616;300*;893;0.6779;-65.86;7.46
3;987;-;300*;1117;1.7283;-;13.17
4;1410;-;300*;1561;1.8332;-;10.71
5;616;616;4.936;616;0.5658;0.0;0.0
6;1392;-;300*;1571;3.3443;-;12.82
7;620;2203;300*;757;0.875;-65.64;22.04
8;751;751;10.949;751;0.6239;0.0;0.0
9;1092;-;300*;1160;1.1247;-;6.23
10;930;-;300*;1075;1.4719;-;15.47
11;922;922;43.2425;922;0.8688;0.0;0.0
12;896;971;300*;965;1.1037;-0.62;7.58
13;865;922;300*;909;0.8424;-1.41;5.09
14;1135;-;300*;1198;1.4361;-;5.55
15;1116;-;300*;1333;3.1144;-;19.44
16;1242;1268;300*;1244;1.16;-1.89;0.08
17;1144;-;300*;1221;1.5781;-;6.73
18;918;918;18.7948;918;0.8507;0.0;0.0
19;954;-;300*;997;1.2218;-;4.4
20;1098;-;300*;1218;1.7468;-;10.93
21;1357;1417;300*;1378;1.2899;-2.75;1.47
22;887;-;300*;957;1.1015;-;7.77
23;1066;1633;300*;1222;1.331;-25.17;14.63
24;589;589;11.8299;589;0.6146;0.0;0.0
25;1206;1409;300*;1265;1.2785;-10.22;4.81
26;749;871;300*;869;0.8982;-0.23;16.02
27;839;839;166.2424;839;0.6534;0.0;0.0
28;786;-;300*;968;0.9055;-;23.16
29;1028;1028;238.0804;1028;0.9796;0.0;0.0
30;639;639;4.6809;639;0.627;0.0;0.0
31;728;854;300*;854;1.3476;0.0;17.31
32;659;659;29.1907;659;0.7066;0.0;0.0
33;939;1089;300*;1089;1.815;0.0;15.97
34;581;581;19.5611;581;0.7594;0.0;0.0
35;985;-;300*;1085;1.8156;-;10.15
36;759;1173;300*;845;1.1847;-27.96;11.33
37;1216;-;300*;1405;2.5387;-;15.48
38;1023;-;300*;1226;1.6332;-;19.73
39;1107;1255;300*;1132;1.8563;-9.8;2.26
40;714;714;40.4761;714;0.9878;0.0;0.0
41;696;799;300*;731;0.9773;-8.51;4.88
42;925;-;300*;1116;1.6181;-;20.52
43;1036;4078;300*;1068;1.3578;-73.81;2.99
44;866;-;300*;988;1.5818;-;14.09
45;1418;-;300*;1690;3.4597;-;19.18
46;764;1025;300*;878;1.1266;-14.34;14.92
47;1018;-;300*;1163;1.8874;-;14.13
48;645;645;8.0216;645;0.6756;0.0;0.0
49;772;1026;300*;879;1.0432;-14.33;13.71
50;908;-;300*;936;2.0093;-;3.08
